date,open,high,low,close,adjusted_close,volume
2018-01-02,3506.5,3508.37,3469.23,3490.19,3490.19,353807830
2018-01-03,3492.9,3519.73,3488.91,3509.88,3509.88,343514170
2018-01-04,3520.84,3580.47,3520.84,3568.88,3568.88,449881810
2018-01-05,3570.51,3608.7,3570.51,3607.63,3607.63,365141160
2018-01-08,3610.97,3624.74,3608.82,3616.45,3616.45,291264630
2018-01-09,3617.48,3629.73,3614.16,3622.87,3622.87,325849210
2018-01-10,3619.88,3625.35,3599.14,3609.83,3609.83,556395370
2018-01-11,3613.99,3617.75,3588.07,3595.24,3595.24,475198830
2018-01-12,3597.19,3616.01,3597.19,3612.61,3612.61,375192620
2018-01-15,3612.73,3623.44,3603.47,3611.81,3611.81,268278680
2018-01-16,3613.1,3639.05,3611.56,3622.01,3622.01,364054970
2018-01-17,3613.09,3624.68,3603.3,3612.78,3612.78,339066880
2018-01-18,3616.75,3628.13,3606.2,3620.91,3620.91,365512840
2018-01-19,3622.22,3653.03,3619.23,3649.07,3649.07,398251770
2018-01-22,3650.78,3665.53,3644.86,3665.28,3665.28,381603200
2018-01-23,3675.44,3687.22,3662.86,3672.29,3672.29,374174990
2018-01-24,3671.01,3674.5,3643.22,3643.22,3643.22,344070320
2018-01-25,3640.71,3659.33,3614.06,3630.15,3630.15,409632820
2018-01-26,3631.29,3652.48,3630.43,3647.41,3647.41,311464790
2018-01-29,3648.41,3651.21,3636.05,3643.04,3643.04,354954290
2018-01-30,3633.26,3633.35,3601.39,3606.75,3606.75,440255090
2018-01-31,3605.7,3620.94,3600.36,3609.29,3609.29,418858600
2018-02-01,3616.16,3636.22,3567.2,3577.35,3577.35,496754540
2018-02-02,3570.95,3570.95,3523.28,3523.28,3523.28,502329080
2018-02-05,3517.24,3517.24,3474.85,3478.77,3478.77,493494170
2018-02-06,3415.57,3440.38,3362.85,3394.92,3394.92,962797090
2018-02-07,3408.1,3465.9,3402.34,3454.52,3454.52,671269400
2018-02-08,3433.19,3443.75,3360.54,3377.3,3377.3,630477790
2018-02-09,3372.19,3379.46,3306.66,3325.99,3325.99,712244780
2018-02-12,3334.17,3387.07,3334.17,3368.25,3368.25,435507760
2018-02-13,3367.69,3375.23,3340.93,3340.93,3340.93,386587340
2018-02-14,3350.46,3381.13,3314.5,3369.83,3369.83,551320840
2018-02-15,3373.91,3414.34,3373.91,3389.63,3389.63,467451960
2018-02-16,3398.61,3432.07,3398.61,3426.8,3426.8,487664360
2018-02-19,3432.53,3436.68,3404.09,3407.79,3407.79,258671230
2018-02-20,3407.66,3436.21,3398.92,3435.08,3435.08,370051390
2018-02-21,3431.68,3432.97,3405.35,3430.16,3430.16,340880390
2018-02-22,3418.53,3440.19,3393.28,3431.99,3431.99,441245130
2018-02-23,3435.74,3444.23,3423.62,3441.46,3441.46,375986300
2018-02-26,3449.16,3469.98,3449.16,3463.18,3463.18,314832510
2018-02-27,3468.28,3476.21,3448.53,3458.03,3458.03,381000460
2018-02-28,3451.47,3462.98,3434.04,3438.96,3438.96,403716920
2018-03-01,3429.96,3435.28,3387.02,3399.16,3399.16,417997210
2018-03-02,3386.54,3386.54,3316.75,3324.75,3324.75,539475920
2018-03-05,3314.74,3360.45,3309.25,3355.32,3355.32,481066600
2018-03-06,3366.56,3390.81,3357.86,3357.86,3357.86,396506850
2018-03-07,3354.26,3384.29,3337.39,3377.36,3377.36,350889670
2018-03-08,3376.65,3419.33,3374.77,3413.28,3413.28,382667550
2018-03-09,3410.95,3435.04,3403.06,3420.54,3420.54,336218840
2018-03-12,3434.51,3444.04,3417.97,3429.48,3429.48,300960340
2018-03-13,3430.57,3446.42,3385.64,3397.35,3397.35,417560640
2018-03-14,3397.48,3417.0,3384.2,3390.98,3390.98,379961150
2018-03-15,3394.31,3419.01,3391.11,3414.13,3414.13,408868310
2018-03-16,3412.86,3448.63,3411.82,3437.4,3437.4,952837350
2018-03-19,3430.6,3430.6,3386.86,3394.79,3394.79,354550670
2018-03-20,3398.88,3415.35,3383.17,3412.08,3412.08,307085720
2018-03-21,3413.67,3418.43,3387.29,3401.04,3401.04,364626420
2018-03-22,3393.61,3394.38,3320.09,3348.19,3348.19,528072790
2018-03-23,3339.7,3339.7,3279.46,3298.07,3298.07,553998670
2018-03-26,3301.5,3320.86,3261.86,3278.72,3278.72,408277550
2018-03-27,3286.7,3336.8,3286.7,3316.95,3316.95,375022860
2018-03-28,3306.34,3331.25,3267.96,3331.25,3331.25,463348990
2018-03-29,3335.69,3379.38,3333.25,3361.5,3361.5,393971320
2018-04-03,3349.02,3359.12,3324.45,3346.93,3346.93,338299900
2018-04-04,3345.76,3350.97,3300.5,3340.35,3340.35,389312800
2018-04-05,3353.71,3433.81,3353.71,3429.95,3429.95,425059420
2018-04-06,3419.94,3421.73,3399.97,3408.1,3408.1,316152240
2018-04-09,3413.89,3433.68,3403.2,3414.85,3414.85,275118030
2018-04-10,3425.82,3445.34,3425.82,3438.78,3438.78,322582440
2018-04-11,3435.64,3435.64,3411.63,3419.71,3419.71,316977430
2018-04-12,3419.6,3447.52,3413.68,3443.97,3443.97,309850110
2018-04-13,3445.03,3466.99,3438.93,3448.0,3448.0,350989800
2018-04-16,3450.39,3455.03,3435.58,3441.04,3441.04,245576250
2018-04-17,3444.39,3486.53,3444.39,3477.91,3477.91,376575520
2018-04-18,3476.59,3494.82,3476.59,3490.89,3490.89,342374850
2018-04-19,3492.91,3495.39,3478.63,3486.6,3486.6,294222070
2018-04-20,3484.56,3505.44,3479.24,3494.2,3494.2,415321320
2018-04-23,3494.07,3514.65,3482.27,3513.06,3513.06,316111190
2018-04-24,3509.4,3523.81,3493.88,3510.88,3510.88,440141730
2018-04-25,3500.6,3500.6,3464.35,3485.83,3485.83,415537360
2018-04-26,3485.97,3507.83,3477.23,3506.03,3506.03,389359300
